file,status,variant,rank,layers,width,microbatch,liger,optimizer_implementation,step_ms,tokens_per_second,peak_allocated_gib,parameters,initialization_ms,commit
deep-wide-dense-r0.5-mb1-native-reference-s42.json,complete,dense,0.5,24,2048,1,False,reference,2805.7401133701205,11678.914896817994,18.546442985534668,1439270912,91.28337167203426,20119e0d7e8741ecee012249f18e8026523fe06f
deep-wide-dense-r0.5-mb16-native-grouped-s42.json,complete,dense,0.5,24,2048,16,False,grouped,2254.3700663372874,14535.324993818771,24.978610515594482,1439270912,93.88603642582893,20119e0d7e8741ecee012249f18e8026523fe06f
deep-wide-dense-r0.5-mb16-native-reference-s42.json,complete,dense,0.5,24,2048,16,False,reference,2318.3252923190594,14134.341339329616,24.979587078094482,1439270912,94.48954276740551,20119e0d7e8741ecee012249f18e8026523fe06f
deep-wide-dense-r0.5-mb32-liger-grouped-s42.json,complete,dense,0.5,24,2048,32,True,grouped,2260.782736353576,14494.095502566632,13.860507488250732,1439270912,2508.4113348275423,20119e0d7e8741ecee012249f18e8026523fe06f
deep-wide-dense-r0.5-mb32-liger-reference-s42.json,complete,dense,0.5,24,2048,32,True,reference,2319.8263132944703,14125.195542712256,13.92106294631958,1439270912,2541.4219424128532,20119e0d7e8741ecee012249f18e8026523fe06f
deep-wide-dense-r0.5-mb32-native-grouped-s42.json,oom,dense,0.5,24,2048,32,False,grouped,,,,,,
deep-wide-dense-r0.5-mb32-native-reference-s42.json,oom,dense,0.5,24,2048,32,False,reference,,,,,,
deep-wide-dense-r0.5-mb4-native-grouped-s42.json,complete,dense,0.5,24,2048,4,False,grouped,2341.00966155529,13997.379746088925,19.079153537750244,1439270912,95.77270038425922,20119e0d7e8741ecee012249f18e8026523fe06f
deep-wide-dense-r0.5-mb4-native-reference-s42.json,complete,dense,0.5,24,2048,4,False,reference,2408.518584445119,13605.043547750527,19.082571506500244,1439270912,95.59457190334797,20119e0d7e8741ecee012249f18e8026523fe06f
large-A-r0.25-mb1-native-grouped-s42.json,complete,A,0.25,32,2560,1,False,grouped,3929.7593887895346,8338.42400253398,18.6653995513916,1368689792,2149.546856060624,20119e0d7e8741ecee012249f18e8026523fe06f
large-A-r0.25-mb16-native-grouped-s42.json,oom,A,0.25,32,2560,16,False,grouped,,,,,,
large-A-r0.25-mb32-liger-grouped-s42.json,oom,A,0.25,32,2560,32,True,grouped,,,,,,
large-A-r0.25-mb32-native-grouped-s42.json,oom,A,0.25,32,2560,32,False,grouped,,,,,,
large-A-r0.25-mb4-native-grouped-s42.json,complete,A,0.25,32,2560,4,False,grouped,3094.831697642803,10587.974794619451,18.700331211090088,1368689792,2179.919946938753,0f8421bc04f5f392a31d1d377bef2cba76a60b3c
large-A-r0.5-mb1-native-grouped-s42.json,complete,A,0.5,32,2560,1,False,grouped,12904.11270968616,2539.345458758211,37.06667518615723,2800782464,3966.1963917315006,20119e0d7e8741ecee012249f18e8026523fe06f
large-A-r0.5-mb16-native-grouped-s42.json,oom,A,0.5,32,2560,16,False,grouped,,,,,,
large-A-r0.5-mb32-liger-grouped-s42.json,oom,A,0.5,32,2560,32,True,grouped,,,,,,
large-A-r0.5-mb32-native-grouped-s42.json,oom,A,0.5,32,2560,32,False,grouped,,,,,,
large-A-r0.5-mb4-native-grouped-s42.json,complete,A,0.5,32,2560,4,False,grouped,11219.947040081024,2920.5128953413414,37.06562614440918,2800782464,3992.577690631151,0f8421bc04f5f392a31d1d377bef2cba76a60b3c
large-B-r0.25-mb1-native-grouped-s42.json,complete,B,0.25,32,2560,1,False,grouped,2905.362076126039,11278.456571590086,13.540124893188477,919768352,1269.6875762194395,20119e0d7e8741ecee012249f18e8026523fe06f
large-B-r0.25-mb16-native-grouped-s42.json,oom,B,0.25,32,2560,16,False,grouped,,,,,,
large-B-r0.25-mb32-liger-grouped-s42.json,oom,B,0.25,32,2560,32,True,grouped,,,,,,
large-B-r0.25-mb32-native-grouped-s42.json,oom,B,0.25,32,2560,32,False,grouped,,,,,,
large-B-r0.25-mb4-native-grouped-s42.json,complete,B,0.25,32,2560,4,False,grouped,2137.5406719744205,15329.766804820976,13.574232578277588,919768352,1315.305046737194,0f8421bc04f5f392a31d1d377bef2cba76a60b3c
large-B-r0.5-mb1-native-grouped-s42.json,complete,B,0.5,32,2560,1,False,grouped,9256.146890111268,3540.133984788241,27.002161026000977,1902939424,2289.51083868742,20119e0d7e8741ecee012249f18e8026523fe06f
large-B-r0.5-mb16-native-grouped-s42.json,oom,B,0.5,32,2560,16,False,grouped,,,,,,
large-B-r0.5-mb32-liger-grouped-s42.json,oom,B,0.5,32,2560,32,True,grouped,,,,,,
large-B-r0.5-mb32-native-grouped-s42.json,oom,B,0.5,32,2560,32,False,grouped,,,,,,
large-B-r0.5-mb4-native-grouped-s42.json,complete,B,0.5,32,2560,4,False,grouped,7649.275967851281,4283.804141493074,27.00147819519043,1902939424,2465.2567505836487,0f8421bc04f5f392a31d1d377bef2cba76a60b3c
large-dense-r0.5-mb1-native-grouped-s42.json,complete,dense,0.5,32,2560,1,False,grouped,6551.031322218478,5001.960514178458,35.33941078186035,2826734080,131.66419230401516,20119e0d7e8741ecee012249f18e8026523fe06f
large-dense-r0.5-mb1-native-reference-s42.json,complete,dense,0.5,32,2560,1,False,reference,6637.452523224056,4936.833806263161,34.92474842071533,2826734080,110.36650650203228,20119e0d7e8741ecee012249f18e8026523fe06f
large-dense-r0.5-mb16-native-grouped-s42.json,oom,dense,0.5,32,2560,16,False,grouped,,,,,,
large-dense-r0.5-mb16-native-reference-s42.json,oom,dense,0.5,32,2560,16,False,reference,,,,,,
large-dense-r0.5-mb32-liger-grouped-s42.json,oom,dense,0.5,32,2560,32,True,grouped,,,,,,
large-dense-r0.5-mb32-liger-reference-s42.json,oom,dense,0.5,32,2560,32,True,reference,,,,,,
large-dense-r0.5-mb32-native-grouped-s42.json,oom,dense,0.5,32,2560,32,False,grouped,,,,,,
large-dense-r0.5-mb32-native-reference-s42.json,oom,dense,0.5,32,2560,32,False,reference,,,,,,
large-dense-r0.5-mb4-native-grouped-s42.json,complete,dense,0.5,32,2560,4,False,grouped,5848.452782258391,5602.8493723171905,35.337934494018555,2826734080,123.75011667609215,0f8421bc04f5f392a31d1d377bef2cba76a60b3c
large-dense-r0.5-mb4-native-reference-s42.json,complete,dense,0.5,32,2560,4,False,reference,5930.628675967455,5525.215249606931,35.088316440582275,2826734080,127.14143097400665,0f8421bc04f5f392a31d1d377bef2cba76a60b3c
wide-A-r0.25-mb1-native-grouped-s42.json,complete,A,0.25,12,2048,1,False,grouped,986.0659446567297,33231.043195421254,7.530904769897461,472746224,768.0209912359715,20119e0d7e8741ecee012249f18e8026523fe06f
wide-A-r0.25-mb16-native-grouped-s42.json,complete,A,0.25,12,2048,16,False,grouped,691.8361727148294,47363.8153528609,14.191352367401123,472746224,850.3109999001026,0f8421bc04f5f392a31d1d377bef2cba76a60b3c
wide-A-r0.25-mb32-liger-grouped-s42.json,complete,A,0.25,12,2048,32,True,grouped,700.0473961234093,46808.25924970255,6.614253520965576,472746224,5127.026744186878,0f8421bc04f5f392a31d1d377bef2cba76a60b3c
wide-A-r0.25-mb32-native-grouped-s42.json,complete,A,0.25,12,2048,32,False,grouped,678.9592150598764,48262.103694180434,20.280383110046387,472746224,851.8416061997414,0f8421bc04f5f392a31d1d377bef2cba76a60b3c
wide-A-r0.25-mb4-native-grouped-s42.json,complete,A,0.25,12,2048,4,False,grouped,742.5580006092787,44128.53942905015,8.289209842681885,472746224,779.4456221163273,20119e0d7e8741ecee012249f18e8026523fe06f
wide-A-r0.5-mb1-native-grouped-s42.json,complete,A,0.5,12,2048,1,False,grouped,2671.387519687414,12266.284753421513,12.946004867553711,816466160,1272.4259234964848,20119e0d7e8741ecee012249f18e8026523fe06f
wide-A-r0.5-mb16-native-grouped-s42.json,complete,A,0.5,12,2048,16,False,grouped,2164.229426532984,15140.723817393893,18.050300121307373,816466160,1353.7914641201496,0f8421bc04f5f392a31d1d377bef2cba76a60b3c
wide-A-r0.5-mb32-liger-grouped-s42.json,complete,A,0.5,12,2048,32,True,grouped,2166.0453621298075,15128.030431921994,11.077510356903076,816466160,5646.706398576498,0f8421bc04f5f392a31d1d377bef2cba76a60b3c
wide-A-r0.5-mb32-native-grouped-s42.json,complete,A,0.5,12,2048,32,False,grouped,2146.173046901822,15268.107141366276,22.847643852233887,816466160,1356.3341684639454,0f8421bc04f5f392a31d1d377bef2cba76a60b3c
wide-A-r0.5-mb4-native-grouped-s42.json,complete,A,0.5,12,2048,4,False,grouped,2268.8815239816904,14442.358340769071,12.941354751586914,816466160,1360.6326878070831,0f8421bc04f5f392a31d1d377bef2cba76a60b3c
